title,author,date,rating,text
Not perfect but certainly close enough!,Boba_Fett1138,27 December 2011,8,For me this was not a perfect movie but it still was a very good one!
Rapid Money kills rapidly,trouble50,14 December 2020,10,"The film is produced with hidden camera as if. Scene and camera angels are incredible and orjinal. Film pushes u to real world. Succesion of characters and perfect accomodition with each others. Film is fascinating as u dont understand how to time passed.
we dont need talk about the film bcs u can always face to similars on news or newspapers. It just more detailed than . I wanna emhasize to constantly stayed innocent main charachter he already got this award with increasing life standart level. As much as I see people could not being patience for this. U have to break taboos and be patience"
An Adrenaline Rush,Percivalx,7 May 2007,10,"On the front cover of the DVD, Roger Ebert proclaims City of God is: One of the Best Films You'll Ever See! I don't agree with some of his reviews but man, was he right on this one! It blew me away! It is an amazing true story of a young Brazilian man living in the slums of the City of God and who dreams of becoming a photographer. The camera not only keeps him in the slums but also serves as a way out. The story is told through his eyes and in the process we're introduced to some of the most interesting and complex heroes and villains to ever appear on screen. It is a tour-de-force production that has merit in many areas. From the vast array of amateur actors who did a splendid job realizing each character with raw energy to the ultra-kinetic editing and camera movement. This type of frantic editing actually contributed greatly to the effectiveness of the film. Despite some dark and even disturbing moments, director Fernando Meirelles brilliantly puts it all together. It's fast-paced, realistic, and superbly written. Without any doubt, City of God is one of the greatest foreign films ever made."
I want two hours of my life back,slowboatmo,3 June 2008,1,"An awful, awful movie. Like one of the viewers said, it is cheap in all aspects. To those people who haven't seen this film, please stay away from this junk at all cost. Go Watch some wholesome, soul-lifting contemporary Russian art movies like the Return and then see how cheap this movie is. But this is totally a piece of stinking garbage. Violence need not to be portrayed in such an outlandish, vulgar style. The camera movement almost made me throw up. Editing is almost not-existent. A cheap, cheap movie that to the greatest irony won so many undeserving awards. People who raved about this film are idiots. Critics too. It is just pathetic. Even Hollywood movies are one hundred times better as much as I don't like them."
A master piece!,benbhodgson,18 September 2020,10,Everything a film should be!
A masterpiece,cnogueira51,25 March 2021,10,"For me, it is one of the best films ever. It's in my heart."
Actually really good.,VictorBergvall,25 April 2022,8,"This movie portrays the Gangs of Rio in Cidade de Deus, how difficult it is being a child, and how much drugs and killing there is."
great movie made with a low budget,MLDinTN,21 October 2004,,"Why can't Hollywood get it right with all these big budget movies, when a small film like this does it the right way. First, the script was great as well as the cinematography. It's no wonder those things as well as the director got nominated for so many awards. It's a wonder it didn't win for best foreign film. The movie was based on real events about a boy named Rocket who lives in the slums of Rio. Many kids there turn to a life a crime and he witnesses all of it. Two warring gangs take over the streets. He gets the opportunity to take pictures of it and gets them in the newspaper. At the end it tells us he won awards for the pictures he took, including a death picture of the boss of the City of God."
A Cinematic Feat,mdrohan,5 May 2005,9,"City of God, co-directed by Fernando Meirelles and Katia Lund, is a gripping tale about life in the slums, or favelas, of Rio de Janeiro, Brazil. In particular, the film follows the story of a boy named Rocket, who is determined to not become a street hood like most young boys his age, and instead become a photographer. Another main character the film chronicles is Lil' Ze, a determined youth with the end goal of taking over all of the illegal drug operations and other activities in the favela."
Enter my top 10 easily.,i_know_i_die,28 February 2007,10,"Imagine Pulp Fiction with more characters, more guns, more stories, different language, lots of gun fights and a chicken. If you love Pulp Fiction, you will love this."
violence begets violence,widescreenguy,15 January 2007,7,the abundance of handguns says it all.
God's city. City of Destiny.,aruslanzhabbarovkrut,19 January 2022,8,"The first shots of the film show a sharp blade being carelessly sharpened on a rough whetstone. The purpose of the blade is to cut off the heads of chickens and clean off grayish feathers from their dead fragile carcasses. Chickens are doomed. They see everything that is happening around. They see the heads of their former comrades and neighbors fly off with colorful fountains of spray. They see how shiny knives plunge into helpless lifeless ribs. But they can't do anything, even if they wanted to."
"Good, very good",Padrese,28 February 2005,9,"Wow,really good movie. The action of the movie is placed in the rough hoods in Rio and presents the hard life there or how the narrator says:""City of Gods has nothing to do with the Rio De Janeiro you see in postcards"" It has everything-love,war,revenge,crime,funny.The movie can be seen in two opposite ways- of the child who wants to escape from the rough world and of the rest of the children from there who think the only place to make something in life is there. The actors match very well with the story ,also the director Fernando Mirelles done a very good job. In conclusion this movie deserve his spot in the top of the best movies ever made."
No words....,morbid_Visions,12 February 2004,10,"I'm sitting here having trouble coming up with the words for this film. From start to ending you're thrust into such a great story (beautifully shot and directed as well) that keeps getting better and really has no slow spots. Another thing I loved is that the subtitling was masterfully done in the aspect that it fits perfectly in the scenes so its nearly impossible to miss action due to reading the titles. The characters are excellently portrayed and you'll just love Rocket, the main character who narrates the whole movie. I just can't describe in words how this movie makes me feel and how just so incredible it is. Everyone needs to see this now for it cannot be missed. Its got drama, comedy, violence, action, everything. So let the screen saver on your comp kick on and head to your local theater and see it NOW."
Oscars ain't enough,moudjimmy,17 April 2020,9,"How typical of the academy to snub off a masterpiece like this. Based on a true story with relentless risk and breakthrough cinematography and still no Oscar to go home with. That aside, this is genuine film and the reason why more needs to be exposed of what really happens in Brazil."
Brilliant,laura-vanbaren,10 November 2008,10,"You know, a classmate of mine told me for years I had to see this movie, and since we like the same kind of movies, I just knew it had to be great. Still, it lasted for about 3 years 'til I actually saw the movie."
"""City of God"" tells yet another story of violence in a unique way",Movie_Muse_Reviews,23 September 2008,9,"The cycle of violence is not a subject filmmakers have ever shied away from. There are plenty of films like ""City of God"" that try and show such gratuitous violence that we almost become desensitized to it, we expect it. However, there is no film like ""City of God"" that tells this kind of story in rich, visual detail using some very compelling visual storytelling techniques."
a mixture of brilliance and utter disturbance,nbpatel,22 April 2004,10,"this movie is pseudo-documentary meets Little Rascals meets Peter Parker meets Scarface meets Godfather meets Lord of the Flies meets so many other classics.  it's not derivative at all, but it certainly makes you compare elements to the all-time greats of entertainment."
Effectively brutal,Vartiainen,11 October 2014,7,"Based on a novel by Paulo Lins who based the plot on real events having taken place in a favela, Brazilian slum, called City of God. The story is one of lost, unforgiving odds, bleak chances, little to no chance of escaping and of friends turned enemies."
One of the best movies ever made,NoeMan,9 April 2004,10,"This is without a doubt one of the most brilliant films ever made. It tells the story of a few boys that grow up in the ""city of god"", an outskirt of Rio De Janeiro where the poor live. A city where children carry guns and need to steal to have enough food to stay alive. The boys go in different directions as they grow up, one becomes a photographer while another becomes the most powerful criminal in town. Over 100 people are killed in this movie and many of them are kids so it might not be for everyone."
"Hell is Raised, in the City of God",DarylKMiddlebrook,18 September 2015,10,"Set in Brazil in the 1970s, the film tells the story of Rocket (Alexandre Rorigues in an excellent, understated performance), a teenage boy living in an extremely violent area of Rio de Janeiro called The City of God. Like most boys his age, all Rocket wants is to get laid, smoke a little blow and chill with his friends. However, the violence around him not only complicates this it throws him smack dab in the middle of it. When he loses his low paying job, he watches with envy the carefree life of the drug lords Lil Zee and Benny (Leandro Firmino and Phellipe Haagensen respectively) who run the ghetto. They flash money and ride brand new motor scooters through the streets of the hood. When he loses his girl to the more enigmatic gangster Benny, Rocket declares in frustration, ""It was like a message from God: Honesty doesn't pay, sucker."" Seeing delinquency as the only way to prosper, Rocket decides to pursue criminal ventures of his own. Fortunately, Rocket and his equally square buddy, prove to be the most inept of criminals. They don't even have the heart to rob a lost drunk who has unwittingly gotten lost in the slums. Rocket soon resigns himself to the fact he's no criminal. He's one of the nobodies. One of the thousands whose fate is in the hands of a few crazy fools with guns. Luckily for Rocket, fate was waiting around the corner with a better hand for him to play."
Me so not worthy...,Sinnerman,6 May 2003,10,I'll be damned!
One of my PERSONAL top ten movies of all time.,zv300,29 May 2006,9,"This movies is absolutely AMAZING, and for the most part holds up to the hype that surrounds it. I won't get into the story as a few hundred people have already described the gist of the story, but I'll tell you what makes it so good. First the subject matter is important and timely. This movie brings attention to the rampant crime and homelessness in Brazil, especially amongst young children. All the characters are interesting but the editing and camera angles are amongst the best I have ever seen, definitely in my top 5 best edited movies. Hell, you even get the perspective of a chicken being chased by a dozen trigger-happy gangsters! At first your bombarded with scenes from different time-lines, but in the end it all comes to fruition and is explained in an ingenious manner. Everybody pretty much is a gangster in this film (even kids) leaving no one to empathize with, so you have to empathize with their SITUATION, meaning that you feel empathy for EVERYONE involved because all the characters seemed to have been abused and are dirt-poor, living in a barrio in which you have to kill and rob to survive. There is one scene in which a child is coerced into making a choice of killing one of two OTHER children about his age as an initiation. The younger of the two victims actually pees his pants and starts crying like the child he should be acting like. Mind you, this now victim had earlier been stealing and beating other victims himself, but when faced with death reverted back to a child-like state. Mind you, him AND his buddy have both been shot in the foot as punishment for all their stealing. The scene is so realistic that you almost think it's real. And the acting? Absolutely Phenomenal acting from EVERYBODY, especially the youngest children. That's saying a lot because almost everybody in the film ARE actually from the Barrio, with no formal acting experience whatsoever. In other words after filming these kids went back to the ghetto. After seeing this movie I'm positive Hollywood actors make too much money for the crap they put out and call a movie. Anyway, in no way does this film glamorize violence or the gangs as almost anyone involved in the gangster lifestyle pretty much meets a violent demise at the end. This movie in no way tries to preach or even offer a solution for the poverty and violence in Brazil, it's just a snapshot of a day in the life of the barrios and slums of Brazil, the cold hard truth of a region that basks in the sun by day only to hide from the overwhelming violence by night. This film is as important and telling to Brazil as Joint Security Area is to the Korean peninsula. A must see by any standard."
Looks like a funeral procession.,FilmCriticLalitRao,20 July 2007,8,"In Paris,France after having met Katia Lund in 2006,it was difficult for me to fathom that this soft spoken charming lady has made a very violent film depicting the rise of violence in Brazilian slums.She told the audience that it is quite normal for Brazilians to live with violence as they have adjusted themselves to it.This is a very serious statement which in some way reflects the honesty on the part of Brazilian filmmakers. They are showing what is happening in their society and by doing so there are being truthful.The violence of City of God is realistic and no makeup has been done to it.The three key elements of the film: melodrama,violence and music compliment each other well.This film also has a procession like quality to it.It is as if the audience is watching some sort of procession going on and willy-nilly,they also decide to be a part of the crowd.On watching this film,I had the impression of a fun activity happening before me. May be others will experience that too."
The 7th Greatest Film of All Time,aprilzh,5 January 2020,10,"City of God tells the semi-autobiographical story of one young man's experiences growing up alongside the gangs of one of Brazil's most natorious slums in the 1970's. It's stylish. It's groovy and hip. Those things in and of themselves don't make a great movie. But here they serve the story in a remarkable way. The music of the decade and the documentary-like camerawork and slick editing all enhance the experience. The way in which the lead character's everyday struggles are expertly and fluidly intertwined with the rise and fall of the neighborhood gangs is astounding as he brushes shoulders with various characters on both sides of the law. And the narration, which I don't normally enjoy in films, is some of the best I've come across. Very well done."
One of the greatest films of our time,GavAnderson,4 September 2005,10,"'City of God' is hands down, one of the best films ever made. The script is brilliant, the story brutal, and the acting first class. Its stylish, sharp, and hard hitting telling a story of what life is like in one of the world's most notorious slums. It reminds me of 'Goodfellas' in many ways, only it's a whole lot better. Fernando Meirelles has an awesome style, his directing is fast paced and stylish from beginning to end I especially love the way he skips back and forth through time in order to tell every aspect of the story. It is a very stylish film but it also has a heart, it has a story to tell, a story worth watching. 'City of God' is unlike any film I have ever seen, it is so rich is visual beauty, and is flooded with bold originality. You will struggle to find any better, it's a one of a kind movie, that doesn't cease to impress."
A Must See Film,helenekim,2 December 2009,9,"I knew nothing about this film before I actually saw it. Considering it was one of the first foreign films I had ever seen I was shocked that I enjoyed it that much. The acting is brilliant, the story is delightful and very understandable. Everything has been put together and made a compelling finish. The camera work helps the film to be so gratifying especially for someone who does not understand the language the film is made in. Every angle tells a different story so you never draw your eyes away for a split second as the film captivates you that much you do not want to a miss a single shot. The director has admirably captured the idea of the poverty, crime, drugs and violence and throughout that you follow Rocket (the one ounce of hope of escapism from the favelas). Considering I had never really enjoyed a foreign film before I would say this was a great one to see and I found it very satisfying and would definitely watch it again."
Half decent yarn for sure,quasimodo-26512,29 April 2019,8,Just finished watching this movie and I must say I enjoyed it . It wasn't dragged out or boring and the story is somewhat believable!!
On patriotism and violent crime,jghbrown,16 March 2008,3,What is it about violent crime that makes everyone so damn proud of it? From the brainless antics of Al Capone to the drugged stupidity of Scarface (and many others since  I didn't finish Reservoir Dogs cos it ended up in pieces in my garbage can) there seem to be no lengths to which directors won't go to display the trashier side of life and yet make it seem like they're showing cuddly everyday folks.
Degraded perspective about degradation in a polished videoclip packaging,Mashi69,5 April 2006,4,"My opinion on this movie has rapidly degraded as hours and days passed by. I too, as the movie progressed, got involved in the neat technical package, and violence in itself was not so disturbing... you know, we are civilized 21st century men! we love violence (when we are not directly involved with it), plus we love violent movies and this one, well,was just a punch to the stomach a bit harder than the previous ones. And then the story, ooh, it was so wisely penned! with that delicious ironic look à-la Tarantino to smooth the edges of the bullet holes."
SHOCKING,SinaAwdijan,9 May 2021,10,"What we would call fictional is real life for so many kids in Brazil, even now... a movie so shocking and so important for the world to know."
City of God... Why didn't I watch this thing sooner?,Johnny-the-Film-Sentinel-2187,11 December 2016,10,"City of God has been considered by many critics and viewers to be one of the absolute best movies to come from the 2000s; now I see and completely understand why people love this film, and why it's a time capsule that is still relevant and important for today's world; at least for Brazil."
Outstanding,emmatiktokwolf,10 February 2022,7,"Great movie still holds up well today. Cinematography top notch, acting amazing from whole cast, directing on point, casting fantastic. Couldn't ask for anything better."
Tough movie,wwillems,6 February 2006,8,"Very tough movie portraying the lives of kids/teenagers in one of Rio's favelas. What I liked most about the movie is the way in which it is told, through the eyes of one of the kids who manages to escape the harsh reality of the favela. I also like the flashback following the opening scene in which a group of kids tries to catch an escaped rooster. The freeze-frame shots are very nice as well. It is a very fast paced movie and sometimes it is hard to keep track of all that is happening especially because the movie covers a couple of decades. I saw this movie after visiting Rocinha in Rio the week before. I did not realize until after having seen the movie that Seu Jorge plays the role of Mane Galinha. He makes beautiful music these days and one of his quotes is really frightening ""The other actors were ... curious. They wanted to know if the favelas are really like that. I said unfortunately they're much worse."""
DVD has even better doc!,KlutzyGirl,21 November 2009,10,"As riveting as the film is, the documentary on the DVD reveals a world that is even sadder and crueler. We get the history behind the madness and why nothing will ever change. There is so much evil in the world it boggles the mind sometimes. I'm so privileged to be able to turn this off and go back to my safe little life. I know I'd never survive in the horrible environments some people must live in."
Surprisingly good storyline.,otatom,15 April 2005,8,"Being a fan of gangsta movies anyway, i thought that i would find this film enjoyable, expecting typical conventions like Blood and Gore, conflicting gangs, Crime, and a slick super-stylish main character. However this film actually follows a true story, and the main character, telling the story and managing to see all the different perspectives, a photographer. The movies has several story lines linking together explaining how it ended in the way it did. The movie follows a non-linear storyline going backwards and forwards in time, Rocket's life from being a child to his age in the story is explained in some detail. This movie is more than a gangsta movie, it is the story of someone's life in the slums and the lengths that people went to to get money. A must see,although it is in subtitles you quickly get used to reading them and stop even noticing."
It's probably well made but that's little comfort.,GiraffeDoor,22 March 2019,4,I want to like this movie but it just takes itself a bit too seriously.
original,isaacch-99917,30 June 2016,10,"City of god is a different film. Its one of a kind. There aren't many films like it. There is a fair bit of criticism standing against this movie. Such as it being too violent, not appealing to everyone or it being in Portuguese, therefore being subtitled. Without these factors 'City of god' is an almost perfect movie. I don't mind those factors. I don't mind it being violent or being in Portuguese , just that some people do."
Pristine excellence,KnightsofNi11,8 August 2012,8,"Violence and brutality abound in this passionate story of a city and its crime wave. City of God tells the story of this city, the City of God, which sits just a few miles away from Rio de Janero, but it's no paradise. It's a dangerous and crime ridden world where gangs run the streets and guns and drugs are the things which give a man power and control over everyone else. We learn the story of this city from the eyes of Rocket, a quiet young man with hopes of being a journalist one day, assuming he can survive that long in such dangerous conditions. Through crafty editing, engrossing cinematography, and a plethora of disturbingly real performances we witness a most unsettling yet uniquely fascinating story unfold in City of God."
"Entertaining, nothing more",Robby_V,13 September 2005,4,I just watched this one and I just sat there watching 130 minutes of kids playing Indian vs. Cowboy with real guns. I did not get a single thread of emotional bonding with the characters or any of the events. This belittles all of what happens in the movie and even manages to reduce the most dramatic scene of the movie(initiation of a new member into the gang) to nothing more then one more kid shooting a gun.
Solid little crime flick,Horst_In_Translation,25 December 2015,6,"""Cidade de Deus"" is a Brazilian movie that is set in the slums of the same country. We follow two brothers over the years and their lives develop completely differently. It is a world of crime, drugs, desperation, but also a world of hope for a better future. We find out about their involvement with gangs, with girls and also about their hobbies in general. One big hobby of one of them is photography and it may shape the path to the better future I just mentioned. The film runs for over 2 hours and was directed by Fernando Meirelles and Kátia Lund. Bráulio Mantovani adapted Paulo Lins' novel and the result may be Brazil's most famous film of all time."
"City of god is a foreign depiction of what is going on, One of my favorites!",PersianPlaya408,8 August 2005,10,"this ghetto tale of two boys growing up in a suburb of rio de janeiro is a perfect film. The acting is 100% natural and looks as if these kids actually did grow up in that neighborhood (maybe they did, some directors like to use local regular people). The script was brilliantly written, it was a very entertaining film. There's not much more I can say other than that the director did a great, job, this film was always interesting, and the actors were great, the characters were very well written and this film blows many of the gangster type movies based in America out of the picture. 10/10 #45 on my list of all time favorite films."
Stunning gangster movie,Spinal-Column,30 January 2003,7,"If I had written this review as soon as I came out of the cinema I think I would have given it 9/10. However, having had a week or so to reflect on the movie I don't think I will be quite so generous."
"disturbing, shocking, sick",eustfam,28 May 2005,1,"I can't seem to find the words to describe this very disturbing film. I cannot imagine such a life...reminiscent of ""The Lord of the Flies."" Kids aren't kids--they shoot, they kill, they have no consciences. It is like peering into the eyes of soul-less little people."
Masterpiece,lukemickelsonflight,7 October 2019,10,"City of God directed by Fernando Meirelles and co director Katia Lund has a very deceitful title for a film that takes us down a path of heartache and carnage. What amazes me most about the film is the astounding character development that takes place throughout the plot. Perhaps the best example of this is following Lil Ze and his storyline. Originating with his childhood Lil Ze quickly develops into apathetic killer at the tragic age of ten, when he guns down room of people with a wicked laugh. As he ages it becomes clear that he is an individual who cannot function in society. A great display of his inability to function as an individual is found during the scene of Benny's going away party. Lil Ze is furious with Benny's decision to leave and resents the girlfriend because this was the only person Lil Ze was ever able to connect with. While attending the party Lil Ze is seen as awkward and inept in social situations furthering his anger. With the murder of Benny Lil Ze comes full bloom into the monster that he is and continues on to commit a myriad of heinous acts. Through the use of nonlinear storytelling Meirelles does a phenomenal job of depicting each of his characters and their growth and adaption. I also think the choice to use nonprofessional actors helps cement the realism of each of these characters. Again in the case of Lil Ze, the actor actually endured an upbringing in the City of God and was able to deliver it on screen. In addition to the acting and character development the cinematography is what cements this movie as a 10/10 for me. The vibrant use of colors combined with the effortless flow of camera work illustrates what a master Cesar Charlone. This movie and its combination of acting, mise en scene, editing, sound track and the powerful message it sends warrant the perfect score, all the awards received and cement it a place in film history."
Authentic and stunning,martinpersson97,8 September 2021,10,"This movie, by an acclaimed director and with several Oscars, deserves all the praise it gets."
Movie Review Profits,rachelrose-87356,9 August 2019,8,Play Cidade de Deus! It is fast and easy to view! A good way to spend your time. Be the best!
MUST SEE,justineszaflarski,7 October 2019,9,"One sentence to describe this movie best, in my opinion, is difficult to watch, but extremely hard to look away from. City of God is full of chaos, violence, and killing but has a good underlying story of a kid who pushed through his childhood and became a photographer. Anyone who watches this should recognize their privilege. This movie not only makes you think, but make you change your perspective on the world and your part in it. The writer and director take this disturbing content and change it into something intriguing. The performance, the direction, the cinematography, the music, all laced together to create a wonderful film documenting the painful truth of living in a Brazilian slum. Everyone should give this film a chance, you won't regret it."
"Good, not great.",jzathajenious,1 November 2005,8,"Well I've finally seen the much hyped City of God, and while it is not a masterpiece, it is an exciting and well directed film."
Horny on main,TheCorniestLemur,13 June 2022,8,"Bit of a nostalgia trip here, this was the first film I ever watched in an academic context, when I was 16. It's been five years."
Hell on Earth,Ali_John_Catterall,19 November 2009,10,"It's a measure of how untouchable Quentin Tarantino was once considered that City Of God director Walter Salles was compared favourably to him on the film's original release: pre-Slumdog, world cinema wasn't usually associated with breathless, hyper-kinetic camera-work."
Masterpiece,saoconrado40,8 November 2009,10,"City of God is a Masterpiece. With all the rubbish that is coming out of Hollywood these days, this Brazilian movie shows that plot and substance will smash CGI special effects any day of the week. Not for the weak of heart, COG is shocking, confronting, and also fascinating. It depicts real life in the favelas of Rio de Janeiro, where the horror of drug warfare is juxtaposed with spectacular scenery and beauty. Unlike the privileged few, the favelados are trapped in a vicious cycle of poverty and violence, which is almost impossible to escape from. Hollywood could learn more than a thing or two from this movie, it far surpasses any other action movie of the past decade. Simply a must see. 10 out of 10"
A great movie with well-written characters and powerful scenes of violence,brianberta,15 August 2015,8,"City of God is a very violent, moving, and heartbreaking movie about gangs in the slums of Rio De Janeiro."
Always will be in my top movies to watch,anneth-98033,15 July 2020,9,"As a person that comes from Latin America, I have to say this is as real as you can get it!"
Citt of God is Fabulous,Kshalene,8 April 2005,10,"Easily one of the best movies of the year, perhaps the decade. I have not seen a gangster movie with the level of nuance and attitude as City of God. All the of the characters are wonderfully developed and all have their own identity to add to the message of the film. The locations in which the film was shot are almost a character unto themselves and I left wanting to see more of this slum of Rio de Janiero. There is nothing that I can say about this movie other than it is a masterpiece of storytelling and setting... This is the movie that will put Latin American cinema back to it levels of a couple of years ago. Yet City of God moves beyond what Perros Del Amor and Y Tu Mama Tambien ever dreamed of achieving. Go watch this movie!"
One of the best crime movies,shekhoosraja,3 April 2008,10,"Inspired by true events, this is one of the best crime movies that I have come across. The beauty of it is in the impeccable subtlety with which shocking series of events are presented. They seem totally digestible."
it is not easy to break away from violence in hell,hderksen,13 August 2007,10,"In the slums of Rio de Janeiro, where the police is either corrupt or absent, the cycle of violence seems without end. Children witness and participate in drugs and crime at an early age. Here it may be harder than anywhere else to choose good over evil, to break away from the violence. The story is told through the eyes, and lens, of Rocket. Through him we see Li'l Ze rise to power, the showdown with the rival gang led by Carrot and Knockout Ned and his demise. This movie has great characters, superbly acted."
"Powerful, this movie represents harsh realities.",filipemanuelneto,9 February 2017,7,"Normally Brazilian cinema is strong in good comedy but rather unhappy with respect to dramatic films. However, this film is quite different. Most of the action takes place in one of the largest and most dangerous areas of Rio de Janeiro, the so-called ""favela"" Cidade de Deus (favela is the name that Brazilians give to the slums, where the poorest live, in the midst of total misery). There, people live alongside with crime, knowing that it may be the last day of their lives and having few opportunities to rise in life. In fact, this is not a movie thing, this is reality. The film merely uses reality to stage a story in which two young people take different life paths: one ends up becoming a photographer and the other becomes a drug dealer. These stories are fiction but they are very similar to the lives of immense young people who live in that place. And that's the great advantage of this deeply shocking movie: we know it's all fiction but it could be true."
Goodfellas of Brazil!,tankace,30 June 2016,9,"City of God is by far the best film about the underdeveloped areas of Brazil and the fact many of the actors, producers and crew were from the district of the same name gives to the flick much more faithfulness to its source. In summary go watch for it is amazing, brutally honest and it doesn't fear to be funny, make the characters likable and to show the more day to day problems of life, like as the narrator say"" find a girl""."
Best True Story I've Ever Seen,toxiccity,19 February 2005,9,"Although it is based on a true story a lot of the elements are truthful. This amazing film gives you an insight into the slums of Rio De Jineiro. This was my first movie I have seen with subtitles all the way through, however after 5 minutes I forgot about it as I was lost in the power of the movie. Although the film is graphic in many ways the movie has a comical side to it that adds another dimension to the picture. The film has an excellent storyline with great acting and intense power. This is a must see for anybody but if you like powerful films such as Godfather and Fight Club this is just your sort of film. It is just another example of the fact you can make an astonishing film with a low budget and unproven actors."
Another Side Of Brazil,imim123,12 October 2015,9,"Among countless merits it enjoys, this is a most conspicuous one: It shows a strong sense of reality. Since it is based on a true story, it demonstrates another side of Brazil, one which consists of chaos, crime and death. Despite several objective reasons on how ""City of God"" come into existence, people's ignorance is the main cause. By this I mean, Neither rich people nor the government want to have anything to do with ""City Of God"", thus their deliberate ignorance of poor people should be held responsible for all the misfortune that happened. In this deserted city, poverty breeds crime and crime leads to more poverty. As a consequence, it is hard for people to leave the city and even if they do, they always get dragged back.As we can see, the only way to break this wretched cycle is education. Fair and quality education will enable kids of the next generation to have more options other than become another gang member."
astonishing,ahalbatli,7 October 2019,9,"City of God is a masterpiece that the international cinema ever made. I consider it to be the best international movie I have seen so far. This film is a story about the violent life of the favelas in Brazil. City of God may contain the most violent content I have ever seen in a movie, to reflect the original true story. The experience the movie offering is really hard to watch. However, it holds you and you would get more attached more to the story. In the middle of the chaos and violence in City of God the film is about how a young peaceful kid wants to achieve his dream and make something out of his hard life. Also, how young kids can transform to be criminals because of poverty in the town.
The cinematography, music, and the timeline are astonishing, especially, the vibrant colors, which gave the film some life aspects besides the violent and the killing in the movie. The characters are all well developed, but the only thing holding me from giving it 10/10 is the lack of emotion and sadness from the characters in the movie. It could be because of how the Brazilian cinema works but it was the main different than American movies."
Extraordinarily Tragic,Popsicle_A,17 June 2003,10,"The film City of God depicts a world where many children do not live to reach adulthood.  In a city run by drugs, gangs and of lost innocence we see a variety of characters and their stories narrated by a young boy who wants to be a photographer."
Technically brilliant though brutal and Shocking,AnandBlaster,3 February 2023,9,"The movie pulls you in within a few minutes thanks to the realistic writing, locations and a fantastic cinematography. The runtime which is around 2 hours flies just like that. So many sequences, for instance the story of the apartment, stay in the mind mainly because of the cinematography and a unique style of editing. Some of the scenes are violent and disturbing to watch, especially when there are kids involved. Even more difficult to fathom is when the end credits rolled as based on a true story."
Oh my God! This movie was amazing!,meeza,27 February 2004,10,"`City of God' is a Brazilian cinematic masterpiece.  Thank God that it has been nominated for 4 academy awards. Director Fernando Meirelles mesmerizing look at teenage ganglords in a Brazilian slum-town nicknamed the City of God is one of the best crime films of all time. Hey! I know this might be an overstatement so please do not gang up on me. The film is narrated by the reticent teenager named Rocket who lives in the `city of god' but is not a hoodlum himself. However, he is surrounded by a life of crime & violence that commands this ghetto. The teenage ganglords control the city of god and there is minimal police intervention. Hey, why not start a Youth Crime Watch program? I had to shoot that one in there (shameless promotion). Alexandre Rodrigue as Rocket sparks up an astronomical performance. However, the most puissant performance of the film is delivered by Leandro Firmino as the menacing youth gang-leader Lil'Ze. His killing-spree ruthless demeanor makes him the most intimidating character I have seen in film this year. Among the aforementioned, other godlike attributes in the `City of God' is the amplitude that Meirelles inserts in its screenplay & narrative.  The film is based on accounts of a true story and Meirelles & Screnwriter Paulo Lins are most credible in keeping it Rio, I mean real. `City of God' is magisterial but yet disturbing. Nevertheless, it should be blessed as one of the best foreign films in history. ***** Excellent"
"Great acting, story, and cinematography.",nicolechan916,1 November 2015,8,"Based on a true favela (slum) named 'City of God' in Rio, the film does a great job at creating a realistic looking depiction of the life there. A little trivia: The location in which they filmed at was a neighbouring favela, as the actual favela was too dangerous to film in. Another trivia: Filmmakers actually recruited children from the favela to produce an authentic feel for the movie. Based on this fact, it is deeply disconcerting that these children are able to act out violet scenes so well, as if they already possessed the persona of their characters. The acting overall is very realistic, and the whole cast does a fantastic job, probably because they have been exposed to this reality all their life."
Violence is not enough,avito,10 July 2007,4,The world is full of unpleasant things.
So much sin in the city of god..,oriyon8,25 March 2006,9,"Best foreign film i've ever seen including ""Y tu mama tambien"" & ""Crouching tiger hidden dragon"". Though set in the slums of Brazil, the ideal of lost youth and dead-end circumstances are experiences world round. But this film also revels in it's depiction of Brazil as a universe. A place most of us see as serenely beautiful, but underneath it's post card image lies all these dangers."
City of God -- One of 2002's greatest films,jonathanruano,27 September 2014,10,"""City of God"" is a masterful film about the criminal world of one of Brazil's most notorious slums. ""City of God,"" as the name suggests, was sold as a paradise to Brazilians whose former homes had been destroyed by floods and acts of arson. But this slum turned out to be a purgatory on earth and eventually became a burning inferno filled with violence and grinding poverty. This slum also served as a microcosm for a cynical policy of moving the poor and their problems away from the more prosperous urban areas and then forgetting about them -- unless, that is, the level of crime and violence really got out of hand."
Not worth the hype,frjenny92,21 November 2009,1,"Nowadays some consider a movie to be phenomenal as long as it shows tragical poverty and violence. It is so distinct from their lives that they unconsciously feel ""educated"" by seeing the film; praising the film therefore becomes a way of self-elevation."
Truly Remarkable Cinema,appleskimorange-756-841050,4 June 2010,9,"This is what fine cinema is all about: motivational, probing and ultimately thought-provoking. This film scrutinizes the gang lifestyle in the Rio suburb of the film's namesake, City Of God, and along the way, captures the audience with its strong performances. This is one of the most influential and beautiful pieces of film-making one will ever see. This is a film that stays with you long after viewing it. Truly a benchmark in modern cinema, proving that the cinema of today still has hope. One of the greatest films, if not the best, of the '00s. If you only watch one foreign film in your lifetime, make this it. 9 out of 10."
